ㄚ-ㄚ-ㄞ-ㄚ-ㄢ,a-a-ai-a-an,a-a-ai-a-an
ㄞ-ㄞ-ㄢ-ㄚ-ㄈㄚ,ai-ai-an-a-fa,ai-ai-an-a-fa
ㄢ-ㄞ-ㄈㄚ-ㄈㄢ-ㄢ,an-ai-fa-fan-an,an-ai-fa-fan-an
ㄈㄚ-ㄈㄟ-ㄚ-ㄈㄧ-ㄈㄢ,fa-feɪ-a-fi-fan,fa-fei-a-fi-fan
ㄈㄢ-ㄈㄚ-ㄈㄨ-ㄚ-ㄈㄤ,fan-fa-fu-a-fɑŋ,fan-fa-fu-a-fang
ㄈㄟ-ㄞ-ㄈㄟ-ㄢ-ㄈㄢ,feɪ-ai-feɪ-an-fan,fei-ai-fei-an-fan
ㄈㄧ-ㄈㄧ-ㄈㄨ-ㄞ-ㄈㄤ,fi-fi-fu-ai-fɑŋ,fi-fi-fu-ai-fang
ㄈㄨ-ㄢ-ㄈㄟ-ㄈㄚ-ㄈㄛ,fu-an-feɪ-fa-fɔ,fu-an-fei-fa-fo
ㄈㄤ-ㄚ-ㄈㄣ-ㄈㄧ-ㄈㄛ,fɑŋ-a-fən-fi-fɔ,fang-a-fen-fi-fo
ㄈㄛ-ㄚ-ㄈㄡ-ㄚ-ㄈㄜ,fɔ-a-fɤʊ-a-fɯʌ,fo-a-fou-a-fe
ㄈㄣ-ㄈㄨ-ㄈㄚ-ㄈㄥ-ㄞ,fən-fu-fa-fʊŋ-ai,fen-fu-fa-feng-ai
ㄈㄡ-ㄞ-ㄈㄣ-ㄈㄤ-ㄢ,fɤʊ-ai-fən-fɑŋ-an,fou-ai-fen-fang-an
ㄈㄜ-ㄚ-ㄧ-ㄈㄡ-ㄢ,fɯʌ-a-i-fɤʊ-an,fe-a-yi-fou-an
ㄈㄥ-ㄈㄚ-ㄧㄚ-ㄧㄞ-ㄈㄢ,fʊŋ-fa-ia-iaɪ-fan,feng-fa-ya-yai-fan
ㄧ-ㄈㄜ-ㄞ-ㄈㄥ-ㄈㄢ,i-fɯʌ-ai-fʊŋ-fan,yi-fe-ai-feng-fan
ㄧㄚ-ㄧㄥ-ㄈㄟ-ㄈㄟ-ㄈㄧ,ia-iŋ-feɪ-feɪ-fi,ya-ying-fei-fei-fi
ㄧㄞ-ㄈㄨ-ㄈㄢ-ㄈㄛ-ㄞ,iaɪ-fu-fan-fɔ-ai,yai-fu-fan-fo-ai
ㄧㄥ-ㄈㄧ-ㄧ-ㄧㄚ-ㄧㄤ,iŋ-fi-i-ia-iɑŋ,ying-fi-yi-ya-yang
ㄧㄤ-ㄈㄨ-ㄈㄟ-ㄈㄤ-ㄈㄤ,iɑŋ-fu-feɪ-fɑŋ-fɑŋ,yang-fu-fei-fang-fang
ㄧㄠ-ㄈㄚ-ㄧㄠ-ㄈㄢ-ㄈㄣ,iɑʊ-fa-iɑʊ-fan-fən,yao-fa-yao-fan-fen
ㄧㄛ-ㄢ-ㄈㄡ-ㄈㄟ-ㄈㄛ,iɔ-an-fɤʊ-feɪ-fɔ,yo-an-fou-fei-fo
ㄧㄝ-ㄚ-ㄧㄛ-ㄈㄚ-ㄧㄝ,iɛ-a-iɔ-fa-iɛ,ye-a-yo-fa-ye
ㄧㄢ-ㄈㄜ-ㄢ-ㄈㄥ-ㄈㄛ,iɛn-fɯʌ-an-fʊŋ-fɔ,yan-fe-an-feng-fo
ㄧㄡ-ㄈㄧ-ㄧㄞ-ㄈㄣ-ㄧ,iɤu-fi-iaɪ-fən-i,you-fi-yai-fen-yi
ㄍㄚ-ㄧㄢ-ㄧㄚ-ㄧㄡ-ㄈㄨ,ka-iɛn-ia-iɤu-fu,ga-yan-ya-you-fu
ㄍㄞ-ㄈㄡ-ㄈㄧ-ㄧㄥ-ㄈㄣ,kaɪ-fɤʊ-fi-iŋ-fən,gai-fou-fi-ying-fen
ㄍㄟ-ㄈㄜ-ㄈㄚ-ㄍㄚ-ㄍㄞ,keɪ-fɯʌ-fa-ka-kaɪ,gei-fe-fa-ga-gai
ㄍㄨ-ㄈㄤ-ㄈㄡ-ㄈㄨ-ㄈㄛ,ku-fɑŋ-fɤʊ-fu-fɔ,gu-fang-fou-fu-fo
